Index,Date,Day_of_Week,Calories Burned,Steps,Distance,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
1,2024-01-16,Tue,"1,532","4,604",1.92,774,215,6,1,530
2,2024-01-17,Wed,"1,476","4,385",1.83,821,175,6,1,452
3,2024-01-18,Thur,"1,554","7,766",3.24,833,136,29,18,540
4,2024-01-19,Fri,"1,515","5,167",2.16,"1,273",141,7,19,471
5,2024-01-20,Sat,"1,481","5,399",2.26,875,155,3,18,459
6,2024-01-21,Sun,"1,423","4,175",1.74,718,135,0,0,357
7,2024-01-22,Mon,"1,498","6,711",2.8,841,118,1,37,465
8,2024-01-23,Tue,"1,588","8,105",3.38,975,146,14,29,565
9,2024-01-24,Wed,"1,712","9,542",3.99,864,190,12,34,709
10,2024-01-25,Thur,"1,667","8,083",3.38,696,202,4,33,678
11,2024-01-26,Fri,"1,735","12,863",5.37,837,120,7,78,723
12,2024-01-27,Sat,"1,488","4,857",2.03,727,185,0,0,464
13,2024-01-28,Sun,"1,446","3,993",1.67,871,172,0,0,412
14,2024-01-29,Mon,"1,680","6,308",2.64,833,224,1,14,670
15,2024-01-30,Tue,"1,568","7,625",3.26,834,169,3,31,566
16,2024-01-31,Wed,"1,570","6,420",2.68,923,169,9,13,533
17,2024-02-01,Thur,"1,498","5,499",2.33,919,135,2,12,435
18,2024-02-02,Fri,"1,742","13,600",5.68,860,103,10,90,738
19,2024-02-03,Sat,"1,374","3,323",1.39,956,129,0,0,312
20,2024-02-04,Sun,"1,498","5,323",2.23,861,136,12,15,465
21,2024-02-05,Mon,"1,684","5,403",2.25,749,241,0,0,691
22,2024-02-06,Tue,"1,542","7,506",3.14,888,140,11,26,522
23,2024-02-07,Wed,"1,611","7,696",3.21,818,154,13,30,571
24,2024-02-08,Thur,"1,496","6,957",2.91,822,121,3,32,461
25,2024-02-09,Fri,"1,987","15,697",6.55,837,183,15,101,"1,013"
26,2024-02-10,Sat,"1,278","1,854",0.77,904,99,0,0,222
27,2024-02-11,Sun,"1,586","7,058",2.95,833,168,2,26,560
28,2024-02-12,Mon,"1,697","6,731",2.81,771,262,0,0,711
29,2024-02-13,Tue,"1,554","7,063",2.95,810,182,1,26,559
30,2024-02-14,Wed,"1,507","5,888",2.53,859,140,4,22,466
31,2024-02-15,Thur,"1,566","9,340",3.93,913,113,23,37,553