Day Index,Quarter ID,Month,High,Low,Rain
1,1,Jan,39,30.2,Yes
2,1,Jan,57,37.9,Yes
3,1,Jan,42.1,36,Yes
4,1,Jan,46.9,31.1,No
5,1,Jan,44.1,37.9,No
6,1,Jan,42.1,37,No
7,1,Jan,46.9,31.1,No
8,1,Jan,37.9,29.1,No
9,1,Jan,46,29.1,No
10,1,Jan,50,26.2,No
11,1,Jan,45,24.3,No
12,1,Jan,48.9,23.2,No
13,1,Jan,51.1,23.2,No
14,1,Jan,55,27.1,No
15,1,Jan,50,31.1,Yes
16,1,Jan,48.9,34,No
17,1,Jan,50,34,No
18,1,Jan,46,32,No
19,1,Jan,51.1,29.1,No
20,1,Jan,45,24.3,Yes
21,1,Jan,53.1,20.1,No
22,1,Jan,50,31.1,No
23,1,Jan,37.9,24.3,No
24,1,Jan,39,22.1,No
25,1,Jan,37,30.2,Yes
26,1,Jan,36,31.1,Yes
27,1,Jan,45,35.1,No
28,1,Jan,37,26.2,No
29,1,Jan,32,23.2,No
30,1,Jan,39.9,19.2,No
31,1,Jan,32,29.1,Yes
32,1,Feb,33.1,29.1,Yes
33,1,Feb,36,30.2,Yes
34,1,Feb,41,30.2,No
35,1,Feb,46,27.1,No
36,1,Feb,55,35.1,Yes
37,1,Feb,48.9,28.2,No
38,1,Feb,44.1,27.1,Yes
39,1,Feb,37.9,22.1,No
40,1,Feb,51.1,26.2,No
41,1,Feb,42.1,27.1,Yes
42,1,Feb,34,31.1,Yes
43,1,Feb,31.1,26.2,No
44,1,Feb,31.1,27.1,Yes
45,1,Feb,37.9,28.2,No
46,1,Feb,39,34,Yes
47,1,Feb,48,28.2,Yes
48,1,Feb,37,24.3,No
49,1,Feb,31.1,27.1,Yes
50,1,Feb,37.9,29.1,Yes
51,1,Feb,33.1,23.2,No
52,1,Feb,39.9,19.2,No
53,1,Feb,37,31.1,Yes
54,1,Feb,55.9,32,No
55,1,Feb,63,29.1,No
56,1,Feb,55.9,32,No
57,1,Feb,48.9,32,Yes
58,1,Feb,54,36,Yes
59,1,Feb,46,41,Yes
60,1,Feb,52,37.9,Yes
61,1,Feb,44.1,29.1,No
62,1,Feb,59,24.3,No
63,1,Mar,54,32,No
64,1,Mar,43,26.2,No
65,1,Mar,46.9,28.2,No
66,1,Mar,46.9,22.1,No
67,1,Mar,54,22.1,No
68,1,Mar,71.1,32,No
69,1,Mar,69.1,45,No
70,1,Mar,79,39,No
71,1,Mar,70,55,No
72,1,Mar,57.9,37,No
73,1,Mar,64,37,No
74,1,Mar,46.9,30.2,No
75,1,Mar,45,39,No
76,1,Mar,50,39.9,No
77,1,Mar,53.1,46,Yes
78,1,Mar,50,37.9,No
79,1,Mar,57.9,28.2,No
80,1,Mar,64,28.2,No
81,1,Mar,63,29.1,No
82,1,Mar,68,37.9,No
83,1,Mar,59,53.1,Yes
84,1,Mar,64,55.9,No
85,1,Mar,82.9,55.9,No
86,1,Mar,73,45,No
87,1,Mar,72,48.9,Yes
88,1,Mar,59,39.9,No
89,1,Mar,66.9,34,No
90,1,Mar,68,52,Yes
91,1,Mar,52,34,Yes
92,1,Mar,46.9,30.2,No
93,1,Mar,55.9,29.1,No
94,2,Apr,72,41,No
95,2,Apr,72,44.1,No
96,2,Apr,75.9,54,No
97,2,Apr,78.1,48,No
98,2,Apr,71.1,52,No
99,2,Apr,59,52,Yes
100,2,Apr,69.1,53.1,Yes
101,2,Apr,81,59,Yes
102,2,Apr,61,50,Yes
103,2,Apr,66,48.9,No
104,2,Apr,64,46,Yes
105,2,Apr,66,44.1,No
106,2,Apr,59,39,No
107,2,Apr,59,37,No
108,2,Apr,68,39.9,No
109,2,Apr,63,45,No
110,2,Apr,77,46,No
111,2,Apr,68,39,No
112,2,Apr,53.1,34,No
113,2,Apr,66,34,No
114,2,Apr,66.9,37.9,Yes
115,2,Apr,68,50,Yes
116,2,Apr,68,43,No
117,2,Apr,84.9,42.1,No
118,2,Apr,89.1,62.1,No
119,2,Apr,84.9,68,Yes
120,2,Apr,73,48.9,No
121,2,Apr,69.1,44.1,No
122,2,Apr,87.1,53.1,No
123,2,Apr,75,64.9,Yes
124,2,Apr,87.1,64.9,Yes
125,2,May,81,55.9,Yes
126,2,May,66,45,No
127,2,May,66,42.1,Yes
128,2,May,59,42.1,Yes
129,2,May,64,41,Yes
130,2,May,68,46.9,No
131,2,May,69.1,46,No
132,2,May,70,43,No
133,2,May,73,39.9,No
134,2,May,75,45,No
135,2,May,80.1,44.1,No
136,2,May,77,46.9,Yes
137,2,May,75.9,50,No
138,2,May,82,48,No
139,2,May,89.1,54,No
140,2,May,87.1,57.9,No
141,2,May,87.1,50,No
142,2,May,93,59,No
143,2,May,95,70,No
144,2,May,82,57,Yes
145,2,May,77,57,No
146,2,May,93.9,51.1,Yes
147,2,May,86,64.9,No
148,2,May,73.9,55.9,Yes
149,2,May,55.9,50,Yes
150,2,May,57,48.9,Yes
151,2,May,75.9,48.9,No
152,2,May,80.1,51.1,No
153,2,May,81,62.1,No
154,2,May,86,66.9,Yes
155,2,May,86,66,No
156,2,Jun,93.9,63,No
157,2,Jun,96.1,70,No
158,2,Jun,95,72,No
159,2,Jun,91,75.9,No
160,2,Jun,90,72,Yes
161,2,Jun,89.1,69.1,Yes
162,2,Jun,69.1,64.9,Yes
163,2,Jun,78.1,64,No
164,2,Jun,81,64.9,Yes
165,2,Jun,89.1,64.9,Yes
166,2,Jun,82.9,63,No
167,2,Jun,81,62.1,No
168,2,Jun,80.1,57.9,No
169,2,Jun,86,54,No
170,2,Jun,86,73,No
171,2,Jun,93,68,No
172,2,Jun,93.9,73,Yes
173,2,Jun,73.9,55,Yes
174,2,Jun,78.1,51.1,No
175,2,Jun,78.1,54,No
176,2,Jun,81,54,No
177,2,Jun,89.1,73,Yes
178,2,Jun,93,73,No
179,2,Jun,93.9,75,No
180,2,Jun,97,75,No
181,2,Jun,99,73,Yes
182,2,Jun,87.1,71.1,Yes
183,2,Jun,84,64.9,Yes
184,2,Jun,80.1,59,Yes
185,2,Jun,84,61,No
186,2,Jun,91,64,No
187,3,Jul,96.1,71.1,No
188,3,Jul,96.1,75,Yes
189,3,Jul,90,73,Yes
190,3,Jul,91,70,Yes
191,3,Jul,84.9,68,No
192,3,Jul,90,72,No
193,3,Jul,96.1,77,No
194,3,Jul,96.1,75.9,No
195,3,Jul,96.1,73.9,No
196,3,Jul,95,70,No
197,3,Jul,98.1,73.9,No
198,3,Jul,97,73.9,Yes
199,3,Jul,84,72,No
200,3,Jul,91,68,No
201,3,Jul,95,68,No
202,3,Jul,93,68,Yes
203,3,Jul,84,60.1,No
204,3,Jul,89.1,62.1,No
205,3,Jul,88,61,No
206,3,Jul,93.9,73.9,No
207,3,Jul,97,73,Yes
208,3,Jul,97,70,No
209,3,Jul,93,70,No
210,3,Jul,90,72,Yes
211,3,Jul,90,69.1,No
212,3,Jul,84,68,No
213,3,Jul,77,66,Yes
214,3,Jul,84,61,No
215,3,Jul,82,62.1,No
216,3,Jul,81,64,No
217,3,Jul,89.1,60.1,No
218,3,Aug,91.9,66,No
219,3,Aug,80.1,66,No
220,3,Aug,89.1,64.9,No
221,3,Aug,90,71.1,Yes
222,3,Aug,95,73.9,Yes
223,3,Aug,98.1,72,Yes
224,3,Aug,98.1,73,No
225,3,Aug,98.1,73.9,Yes
226,3,Aug,91.9,73,No
227,3,Aug,82.9,73,No
228,3,Aug,84.9,75,Yes
229,3,Aug,87.1,72,Yes
230,3,Aug,87.1,78.1,Yes
231,3,Aug,91.9,75.9,No
232,3,Aug,84,71.1,Yes
233,3,Aug,86,69.1,No
234,3,Aug,80.1,72,Yes
235,3,Aug,91.9,73,Yes
236,3,Aug,93,73.9,No
237,3,Aug,95,71.1,No
238,3,Aug,95,73.9,No
239,3,Aug,95,72,No
240,3,Aug,90,73.9,No
241,3,Aug,84,71.1,No
242,3,Aug,93.9,72,Yes
243,3,Aug,86,72,No
244,3,Aug,84,68,Yes
245,3,Aug,80.1,57,No
246,3,Aug,79,55,No
247,3,Aug,81,57.9,No
248,3,Aug,75.9,66,Yes
249,3,Sep,84.9,64.9,Yes
250,3,Sep,88,60.1,No
251,3,Sep,90,66,Yes
252,3,Sep,79,61,Yes
253,3,Sep,78.1,57,No
254,3,Sep,82,54,No
255,3,Sep,88,63,No
256,3,Sep,89.1,70,No
257,3,Sep,89.1,69.1,No
258,3,Sep,91,71.1,No
259,3,Sep,82.9,72,Yes
260,3,Sep,82,72,Yes
261,3,Sep,88,66.9,No
262,3,Sep,84,60.1,No
263,3,Sep,79,57,No
264,3,Sep,82.9,64.9,No
265,3,Sep,81,70,Yes
266,3,Sep,77,55.9,Yes
267,3,Sep,75,51.1,No
268,3,Sep,78.1,50,No
269,3,Sep,75.9,55,No
270,3,Sep,82,52,No
271,3,Sep,82,60.1,Yes
272,3,Sep,72,53.1,No
273,3,Sep,75,51.1,No
274,3,Sep,73,48,No
275,3,Sep,80.1,48.9,No
276,3,Sep,86,57,No
277,3,Sep,84.9,70,No
278,3,Sep,75.9,66,No
279,3,Sep,73.9,66,No
280,4,Oct,78.1,64,No
281,4,Oct,79,62.1,No
282,4,Oct,75,64.9,Yes
283,4,Oct,73,64.9,Yes
284,4,Oct,70,64.9,No
285,4,Oct,73,63,Yes
286,4,Oct,73.9,61,No
287,4,Oct,81,57,No
288,4,Oct,84.9,57.9,No
289,4,Oct,82.9,50,Yes
290,4,Oct,66.9,48.9,No
291,4,Oct,70,46,No
292,4,Oct,73.9,43,No
293,4,Oct,78.1,52,No
294,4,Oct,78.1,46.9,No
295,4,Oct,72,51.1,No
296,4,Oct,68,46.9,No
297,4,Oct,66.9,48,No
298,4,Oct,80.1,55,Yes
299,4,Oct,68,52,Yes
300,4,Oct,73,51.1,No
301,4,Oct,66.9,46.9,No
302,4,Oct,60.1,55.9,Yes
303,4,Oct,64,52,Yes
304,4,Oct,69.1,50,No
305,4,Oct,62.1,43,No
306,4,Oct,52,39,Yes
307,4,Oct,54,34,No
308,4,Oct,53.1,32,No
309,4,Oct,55.9,29.1,No
310,4,Oct,57,28.2,No
311,4,Nov,59,32,No
312,4,Nov,72,35.1,No
313,4,Nov,75,41,No
314,4,Nov,73,45,No
315,4,Nov,69.1,43,No
316,4,Nov,64.9,42.1,Yes
317,4,Nov,54,36,Yes
318,4,Nov,50,29.1,No
319,4,Nov,50,34,No
320,4,Nov,55,31.1,No
321,4,Nov,63,35.1,No
322,4,Nov,73.9,45,No
323,4,Nov,48.9,33.1,No
324,4,Nov,48,27.1,No
325,4,Nov,54,31.1,No
326,4,Nov,53.1,33.1,Yes
327,4,Nov,46,29.1,No
328,4,Nov,50,28.2,No
329,4,Nov,57,29.1,Yes
330,4,Nov,48,36,Yes
331,4,Nov,44.1,34,No
332,4,Nov,57.9,32,No
333,4,Nov,46.9,31.1,No
334,4,Nov,50,30.2,No
335,4,Nov,57,26.2,No
336,4,Nov,66,43,No
337,4,Nov,59,42.1,No
338,4,Nov,60.1,37.9,No
339,4,Nov,52,31.1,No
340,4,Nov,70,41,No
341,4,Nov,43,31.1,No
342,4,Dec,43,35.1,No
343,4,Dec,43,26.2,No
344,4,Dec,50,37.9,Yes
345,4,Dec,70,45,Yes
346,4,Dec,50,30.2,No
347,4,Dec,57,28.2,No
348,4,Dec,59,29.1,No
349,4,Dec,57.9,30.2,No
350,4,Dec,66.9,42.1,No
351,4,Dec,64,52,No
352,4,Dec,55,46,Yes
353,4,Dec,54,32,No
354,4,Dec,41,24.3,No
355,4,Dec,41,25.2,Yes
356,4,Dec,50,30.2,Yes
357,4,Dec,42.1,25.2,No
358,4,Dec,55,37,No
359,4,Dec,68,43,Yes
360,4,Dec,60.1,42.1,No
361,4,Dec,43,36,Yes
362,4,Dec,57,36,Yes
363,4,Dec,52,46,Yes
364,4,Dec,53.1,48,Yes
365,4,Dec,57,48.9,Yes